match_id,time_sec,team_id,is_winner,P1_hp,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_kill,P1_medkit,P1_firstaid,P1_painkiller,P1_drink,P1_adrenaline,P1_grenade,P1_flash,P1_molotov,P1_dX,P1_dY,P1_z_norm,P2_hp,P2_groggy,P2_medkit,P2_firstaid,P2_painkiller,P2_drink,P2_adrenaline,P2_smoke,P2_grenade,P2_flash,P2_molotov,P2_helm,P2_vest,P2_kill,P2_dX,P2_dY,P2_z_norm,P3_hp,P3_groggy,P3_medkit,P3_firstaid,P3_painkiller,P3_drink,P3_adrenaline,P3_smoke,P3_grenade,P3_flash,P3_molotov,P3_helm,P3_vest,P3_kill,P3_dX,P3_dY,P3_z_norm,P4_hp,P4_groggy,P4_medkit,P4_firstaid,P4_painkiller,P4_drink,P4_adrenaline,P4_smoke,P4_grenade,P4_flash,P4_molotov,P4_helm,P4_vest,P4_kill,P4_dX,P4_dY,P4_z_norm,num_alive,total_health
vikendi1st.jsonl,1390,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16167.22,3680.84,-0.03,1,88.0
vikendi1st.jsonl,1390,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13926.75,-11226.22,-1.15,94.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-14366.69,-8265.81,-1.29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,177.0
vikendi1st.jsonl,1391,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,241026.0,-100022.55,-1.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1391,11,0,75.0,0,2,2,3,2,0,6,0,7,0,3,1,3,6654.03,14652.09,1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5891.75,14832.25,1.73,2,152.0
vikendi1st.jsonl,1391,18,1,43.6,0,2,2,2,2,0,3,1,2,0,3,0,0,-9256.03,2772.06,-0.09,45.6,0,0,2,0,3,0,0,4,2,1,2,2,1,-9469.31,2308.5,-0.1,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11656.97,4279.28,-0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,189.2
vikendi1st.jsonl,1391,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16167.22,3680.84,0.1,1,88.0
vikendi1st.jsonl,1391,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13926.75,-11226.22,-0.94,94.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-14366.69,-8265.81,-1.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,177.0
vikendi1st.jsonl,1392,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,-12075.12,385606.25,-0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1392,11,0,75.0,0,2,2,3,2,0,6,0,7,0,3,1,3,6654.03,14652.09,1.66,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5891.75,14832.25,1.72,2,152.0
vikendi1st.jsonl,1392,18,1,43.6,0,2,2,2,2,0,3,1,2,0,3,0,0,-9256.03,2772.06,-0.24,45.6,0,0,2,0,3,0,0,4,2,1,2,2,1,-9469.31,2308.5,-0.24,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11656.97,4279.28,-0.46,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,189.2
vikendi1st.jsonl,1392,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16167.22,3680.84,-0.02,1,88.0
vikendi1st.jsonl,1392,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13926.75,-11226.22,-1.14,94.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-14366.69,-8265.81,-1.28,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,177.0
vikendi1st.jsonl,1393,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,-6651.38,375849.31,-0.02,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1393,11,0,75.0,0,2,2,3,2,0,6,0,7,0,3,1,3,6654.03,14652.09,1.66,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5891.75,14832.25,1.72,2,152.0
vikendi1st.jsonl,1393,18,1,43.6,0,2,2,2,2,0,3,1,2,0,3,0,0,-9256.03,2772.06,-0.23,45.6,0,0,2,0,3,0,0,4,2,1,2,2,1,-9469.31,2308.5,-0.24,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11656.97,4279.28,-0.46,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,189.2
vikendi1st.jsonl,1393,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16167.22,3680.84,-0.02,1,88.0
vikendi1st.jsonl,1393,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13926.75,-11226.22,-1.14,94.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-14366.69,-8265.81,-1.28,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,177.0
vikendi1st.jsonl,1394,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,284667.19,124718.78,0.92,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1394,11,0,75.0,0,2,2,3,2,0,6,0,7,0,3,1,3,6691.47,14696.44,1.46,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5929.19,14876.59,1.51,2,152.0
vikendi1st.jsonl,1394,18,1,43.6,0,2,2,2,2,0,3,1,2,0,3,0,0,-9218.59,2816.41,-0.34,45.6,0,0,2,0,3,0,0,4,2,1,2,2,1,-9431.88,2352.84,-0.34,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11619.53,4323.62,-0.55,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,189.2
vikendi1st.jsonl,1394,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,1,3,0,7,8,6,2,2,2,6,16204.66,3725.19,-0.14,1,88.0
vikendi1st.jsonl,1394,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13889.31,-11181.88,-1.19,94.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-14329.25,-8221.47,-1.33,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,177.0
vikendi1st.jsonl,1395,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,191845.06,21044.88,-1.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1395,11,0,75.0,0,2,2,3,2,0,6,0,7,0,3,1,3,6691.47,14696.44,1.65,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5929.19,14876.59,1.7,2,152.0
