filename,filepath,total_players,ai_count,ai_ratio
20251114_063859_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_063859_squad_Baltic_Main.jsonl,100,92,0.92
20251114_152504_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_152504_squad_Baltic_Main.jsonl,100,92,0.92
20251106_143503_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_143503_squad_Baltic_Main.jsonl,100,91,0.91
20251114_105700_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_105700_squad_Baltic_Main.jsonl,98,90,0.9183673469387755
20251110_042849_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_042849_squad_Baltic_Main.jsonl,100,89,0.89
20251111_021358_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_021358_squad_Desert_Main.jsonl,100,44,0.44
20251107_065516_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_065516_squad_Baltic_Main.jsonl,100,91,0.91
20251107_073620_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_073620_squad_Baltic_Main.jsonl,100,92,0.92
20251107_183438_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_183438_squad_Baltic_Main.jsonl,99,91,0.9191919191919192
20251115_165303_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_165303_squad_Baltic_Main.jsonl,93,64,0.6881720430107527
20251108_022036_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_022036_squad_Baltic_Main.jsonl,96,64,0.6666666666666666
20251107_020904_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_020904_squad_Baltic_Main.jsonl,99,92,0.9292929292929293
20251114_162253_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_162253_squad_Baltic_Main.jsonl,100,91,0.91
20251112_223032_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_223032_squad_Desert_Main.jsonl,99,66,0.6666666666666666
20251108_061645_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251108_061645_squad_Baltic_Main.jsonl,100,92,0.92
20251115_164652_squad_Desert_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_164652_squad_Desert_Main.jsonl,98,88,0.8979591836734694
20251111_203642_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_203642_squad_Baltic_Main.jsonl,100,42,0.42
