time_sec,team_id,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
1317,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1318,1,100.0,0,2,3,5,1,0,0,10428.12,458.25,0.25,98.57,0,2,2,5,3,1,0,8187.75,-1802.78,0.15,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,10732.25,-617.59,0.28,3,298.57
1318,20,82.62,0,2,3,5,4,5,0,-5857.56,17011.91,-1.45,100.0,0,3,3,5,7,4,0,-3902.75,16442.09,-0.74,91.71,0,2,3,11,3,4,0,-3906.44,16016.06,-0.82,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,274.33
1318,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,6026.12,-16005.28,-0.32,100.0,0,2,2,1,0,0,0,14049.88,2138.84,0.35,2,103.0
1318,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1319,1,100.0,0,2,3,5,1,0,0,12967.06,-1023.38,0.24,98.57,0,2,2,5,3,1,0,10726.69,-3284.41,0.14,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.19,-2099.22,0.27,3,298.57
1319,20,86.62,0,2,3,5,4,5,0,-2967.25,15350.41,-1.34,100.0,0,3,3,5,7,4,0,-1363.81,14960.47,-0.77,91.71,0,2,3,11,3,4,0,-1367.5,14534.44,-0.86,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,278.33
1319,12,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,2,3,4,6,3,0,8565.06,-17486.91,-0.35,100.0,0,2,2,1,0,0,0,16588.81,657.22,0.34,2,103.0
1319,13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
1320,1,100.0,0,2,3,5,1,0,0,12967.06,-1023.38,0.24,100.0,0,2,2,5,3,1,0,10692.94,-3329.78,0.13,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0,2,3,4,6,0,0,13271.19,-2099.22,0.27,3,300.0
