match_id,time_sec,team_id,is_winner,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
noai.jsonl,1319,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,75.0,0,2,2,1,1,1,0,17178.97,-6215.0,-1.05,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,75.0
noai.jsonl,1329,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,2,2,1,1,1,0,10945.81,8603.69,-0.41,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,88.0
noai.jsonl,1329,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,20.0,0,2,2,2,1,1,0,5028.25,18485.62,-0.81,27.3,0,2,1,1,1,0,0,-4889.22,-14044.62,0.72,77.0,0,2,2,2,2,0,0,4764.94,17337.12,-0.81,3,124.3
noai.jsonl,1329,15,0,77.0,0,2,1,2,3,4,0,-7231.47,10766.75,-0.48,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,77.0
noai.jsonl,1329,18,0,87.28,0,3,1,0,1,9,0,2620.81,-16786.25,1.29,100.0,0,2,1,0,0,3,0,899.5,-15701.25,1.17,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,187.28
noai.jsonl,1329,22,0,100.0,0,2,2,1,1,1,0,15220.38,-1045.19,-1.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,100.0
noai.jsonl,1329,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,75.0,0,2,2,1,1,1,0,17227.53,-6181.12,-1.18,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,75.0
noai.jsonl,1339,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0,2,2,1,1,1,0,8287.41,7912.06,-0.34,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,90.0
noai.jsonl,1339,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,18.0,0,2,2,2,1,1,0,4624.59,17232.88,-0.75,49.3,0,2,1,1,1,0,0,-4577.44,-12990.56,0.75,79.0,0,2,2,2,2,0,0,5147.19,17057.56,-0.75,3,146.3
noai.jsonl,1339,15,0,79.0,0,2,1,2,3,4,0,-4493.56,5658.06,-0.62,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,79.0
noai.jsonl,1339,18,0,93.28,0,3,1,0,1,9,0,3633.47,-16564.69,1.35,100.0,0,2,1,0,0,3,0,961.53,-13367.19,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,193.28
noai.jsonl,1339,22,0,100.0,0,2,2,1,1,1,0,14722.62,-1702.44,-1.03,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,100.0
noai.jsonl,1339,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,75.0,0,2,2,1,1,1,0,17208.72,-6213.81,-1.2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,75.0
noai.jsonl,1349,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
noai.jsonl,1349,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,36.0,0,2,2,2,1,1,0,4605.25,17264.31,-0.81,75.0,0,2,1,1,1,0,0,-4587.56,-12678.25,0.75,82.0,0,2,2,2,2,1,0,5880.47,13110.12,-0.74,3,193.0
noai.jsonl,1349,15,0,81.0,0,2,1,2,3,4,0,-1831.78,4486.62,-0.56,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,81.0
noai.jsonl,1349,18,0,96.28,0,3,1,0,1,9,0,1173.97,-15713.69,1.13,100.0,0,2,1,0,0,3,0,1601.69,-13761.12,0.94,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,196.28
